,nama_buku,penulis,detail_produk,harga_lama,harga_diskon,tanggal_terbit
0, Paket C: Harry + Hermione + Ron ,JK Rowling,Soft Cover   ,417000,333600,  Agustus 2025 
1, Koloni ,Ratih Kumala,Soft Cover   ,109000,87200,  Agustus 2025 
2, Pocket Potters: Hermione Granger (Buku Saku Kisah Harry Potter Karya J.K. Rowling ,J.K. Rowling,Soft Cover   ,139000,111200,  Agustus 2025 
5, Circle ,Iammine,Soft Cover   ,119000,101150,  Agustus 2025 
6, Kitab Kawin ,Laksmi Pamuntjak,Soft Cover   ,89000,71200,  Agustus 2025 
7, The Art of Being a Hot and Unbothered Woman ,Olivia Mai,Soft Cover   ,79000,67150,  Agustus 2025 
8, RAIN ,Tere Liye,Soft Cover   ,109000,87200,  Agustus 2025 
9, Brother Jacob & The Lifted Veil ,George Eliot,Soft Cover   ,50000,40000,  Agustus 2025 
10, Quite Love ,Yoga Arizona,Soft Cover   ,99000,84150,  Agustus 2025 
11, The Book Censor's Library ,Bothayna Al-Essa,Soft Cover   ,105000,84000,  Agustus 2025 
12, We Do Not Part ,Han Kang,Soft Cover   ,110000,88000,  Agustus 2025 
13, Kota Seribu Lantai ,DEWI INTAN,Soft Cover   ,86000,68800,  Agustus 2025 
14, Amba ,Laksmi Pamuntjak,Soft Cover   ,189000,151200,  Juli 2025 
15, Pasung Jiwa ,Okky Madasari,Soft Cover   ,99000,79200,  Juli 2025 
16, Maryam ,Okky Madasari,Soft Cover   ,89000,71200,  Juli 2025 
17, Entrok ,Okky Madasari,Soft Cover   ,89000,71200,  Juli 2025 
18, The Berlin Apartment ,PARKISYE,Soft Cover   ,110000,82500,  Juli 2025 
19, Laut Bercerita ,Leila S. Chudori,Soft Cover   ,150000,120000,  Juli 2025 
20, A Piece of Sunset ,YARA,Soft Cover   ,98500,83725,  Juli 2025 
21, Sihir Perempuan ,Intan Paramadhita,Hard Cover   ,119000,95200,  Juli 2025 
22," Nak, Hidup Ingin Kau Lebih Kuat ",Mahestha Rastha Andaara @selfnotification,Soft Cover   ,78000,66300,  Juli 2025 
23, Teras Cinta di Kampung Sunda ,Aksa,Soft Cover   ,97000,77600,  Juli 2025 
24, KORPUS UTERUS ,Sasti Gotama,Soft Cover   ,89000,71200,  Juli 2025 
25, A Journey to Myself ,@lorianbackpacker,Soft Cover   ,77000,65450,  Juli 2025 
26, Setelah Kita Bertemu ,Pradnya Paramitha,Soft Cover   ,119000,95200,  Juli 2025 
27, Sebuah Lagu Dari Masa Lalu ,TENDERLOVE,Soft Cover   ,99000,84150,  Juli 2025 
