,nama_buku,penulis,detail_produk,harga_lama,harga_diskon
0, Paket C: Harry + Hermione + Ron ,"
				oleh				JK Rowling			","
Soft Cover, Agustus 2025 ",Rp. 417.000				,Rp. 333.600				
1, Koloni ,"
				oleh				Ratih Kumala			","
Soft Cover, Agustus 2025 ",Rp. 109.000				,Rp. 87.200				
2, Pocket Potters: Hermione Granger (Buku Saku Kisah Harry Potter Karya J.K. Rowling ,"
				oleh				J.K. Rowling			","
Soft Cover, Agustus 2025 ",Rp. 139.000				,Rp. 111.200				
3,  Paket B1: Harry + Hermione ,"
				oleh				Jk Rowling Jack Thorne John Tiffany			","
Soft Cover, Agustus 2025 ",,
4, Paket B3: Hermione + Ron ,"
				oleh				Jk Rowling Jack Thorne John Tiffany			","
Hard Cover, Agustus 2025 ",,
5, Circle ,"
				oleh				Iammine			","
Soft Cover, Agustus 2025 ",Rp. 119.000				,Rp. 101.150				
6, Kitab Kawin ,"
				oleh				Laksmi Pamuntjak			","
Soft Cover, Agustus 2025 ",Rp. 89.000				,Rp. 71.200				
7, The Art of Being a Hot and Unbothered Woman ,"
				oleh				Olivia Mai			","
Soft Cover, Agustus 2025 ",Rp. 79.000				,Rp. 67.150				
8, RAIN ,"
				oleh				Tere Liye			","
Soft Cover, Agustus 2025 ",Rp. 109.000				,Rp. 87.200				
9, Brother Jacob & The Lifted Veil ,"
				oleh				George Eliot			","
Soft Cover, Agustus 2025 ",Rp. 50.000				,Rp. 40.000				
10, Quite Love ,"
				oleh				Yoga Arizona			","
Soft Cover, Agustus 2025 ",Rp. 99.000				,Rp. 84.150				
11, The Book Censor's Library ,"
				oleh				Bothayna Al-Essa			","
Soft Cover, Agustus 2025 ",Rp. 105.000				,Rp. 84.000				
12, We Do Not Part ,"
				oleh				Han Kang			","
Soft Cover, Agustus 2025 ",Rp. 110.000				,Rp. 88.000				
13, Kota Seribu Lantai ,"
				oleh				DEWI INTAN			","
Soft Cover, Agustus 2025 ",Rp. 86.000				,Rp. 68.800				
14, Amba ,"
				oleh				Laksmi Pamuntjak			","
Soft Cover, Juli 2025 ",Rp. 189.000				,Rp. 151.200				
15, Pasung Jiwa ,"
				oleh				Okky Madasari			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 79.200				
16, Maryam ,"
				oleh				Okky Madasari			","
Soft Cover, Juli 2025 ",Rp. 89.000				,Rp. 71.200				
17, Entrok ,"
				oleh				Okky Madasari			","
Soft Cover, Juli 2025 ",Rp. 89.000				,Rp. 71.200				
18, The Berlin Apartment ,"
				oleh				PARKISYE			","
Soft Cover, Juli 2025 ",Rp. 110.000				,Rp. 82.500				
19, Laut Bercerita ,"
				oleh				Leila S. Chudori			","
Soft Cover, Juli 2025 ",Rp. 150.000				,Rp. 120.000				
20, A Piece of Sunset ,"
				oleh				YARA			","
Soft Cover, Juli 2025 ",Rp. 98.500				,Rp. 83.725				
21, Sihir Perempuan ,"
				oleh				Intan Paramadhita			","
Hard Cover, Juli 2025 ",Rp. 119.000				,Rp. 95.200				
22," Nak, Hidup Ingin Kau Lebih Kuat ","
				oleh				Mahestha Rastha Andaara @selfnotification			","
Soft Cover, Juli 2025 ",Rp. 78.000				,Rp. 66.300				
23, Teras Cinta di Kampung Sunda ,"
				oleh				Aksa			","
Soft Cover, Juli 2025 ",Rp. 97.000				,Rp. 77.600				
24, KORPUS UTERUS ,"
				oleh				Sasti Gotama			","
Soft Cover, Juli 2025 ",Rp. 89.000				,Rp. 71.200				
25, A Journey to Myself ,"
				oleh				@lorianbackpacker			","
Soft Cover, Juli 2025 ",Rp. 77.000				,Rp. 65.450				
26, Setelah Kita Bertemu ,"
				oleh				Pradnya Paramitha			","
Soft Cover, Juli 2025 ",Rp. 119.000				,Rp. 95.200				
27, Sebuah Lagu Dari Masa Lalu ,"
				oleh				TENDERLOVE			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
28, JALAN PULANG ,"
				oleh				SHINTA PUJI			","
Soft Cover, Juli 2025 ",Rp. 88.000				,Rp. 74.800				
29, Lots Of Memories In September ,"
				oleh				YOURKEYYZ			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
30," Aku Lupa, Aku Manusia ","
				oleh				FEBRIAWAN JAUHARI			","
Soft Cover, Juli 2025 ",Rp. 77.000				,Rp. 65.450				
31, Red String Theory ,"
				oleh				Tessia			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
32, Jeffana ,"
				oleh				SOPHIETHEKID			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
33, BUTTERFLY WITH RADEEYA ,"
				oleh				WINA WIDIANSYAH			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
34, A Billion Of Gesang ,"
				oleh				LAIL. K			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 89.100				
35, When The Rain Meets Hema ,"
				oleh				WULAN NUR AMALIA			","
Soft Cover, Juli 2025 ",Rp. 129.000				,Rp. 116.100				
36, Jendral & Renaya ,"
				oleh				CHARIZMA MELATY			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 89.100				
37, Infinity ,"
				oleh				12 KENTANG			","
Soft Cover, Juli 2025 ",Rp. 115.000				,Rp. 103.500				
38, 7 Sayap Kehidupan (the 7 Wings Of Life) ,"
				oleh				Jienara			","
Soft Cover, Juli 2025 ",Rp. 99.000				,Rp. 84.150				
